"Name","metrics_best/top1acc","metrics_best/iou_mean","basis_size","basis_rank","compression/compression_net_total_with_basis","compression/compression_net_total_without_basis","compression/compression_net_param_with_basis","compression/compression_net_param_without_basis","compression/compression_limit_total"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run0","62.400001525878906","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run1","62.45000076293945","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run2","64.56999969482422","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run3","62.68000030517578","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run4","62.630001068115234","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run5","62.11000061035156","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run6","64.36000061035156","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run7","63.93000030517578","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run8","65.4000015258789","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r02__imgcls_resnet32_cifar10__run9","62.869998931884766","","2","2","1.2079086303710938","1.1924721002578735","0.7243285633647454","0.7088164703956015","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run0","68.68000030517578","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run1","68.54000091552734","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run2","67.98999786376953","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run3","67.62999725341797","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run4","67.41999816894531","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run5","67.3499984741211","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run6","69.12000274658203","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run7","68.37999725341797","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run8","68.5999984741211","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b02_r04__imgcls_resnet32_cifar10__run9","67.62000274658203","","2","4","1.3159643411636353","1.2542182207107544","0.8329132141487523","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run0","68.43000030517578","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run1","65.4000015258789","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run2","69.2699966430664","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run3","67.30999755859375","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run4","66.94999694824219","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run5","67.19000244140625","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run6","68.54000091552734","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run7","66.77999877929688","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run8","67","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r02__imgcls_resnet32_cifar10__run9","66.6500015258789","","4","2","1.2850912809371948","1.2542182207107544","0.8018890282104646","0.7708648422721769","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run0","72.5199966430664","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run1","72.25","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run2","70.87999725341797","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run3","73.61000061035156","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run4","70.33000183105469","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run5","71.19999694824219","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run6","71.87000274658203","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run7","72.0199966430664","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
"imgcls_b04_r04__imgcls_resnet32_cifar10__run8","72.29000091552734","","4","4","1.439456582069397","1.3159643411636353","0.9570099579019032","0.8329132141487523","1.0689798596133149"
